word,sentiment
abandon,neg
abandoned,neg
abandoning,neg
abandonment,neg
abandonments,neg
abandons,neg
abdicated,neg
abdicates,neg
abdicating,neg
abdication,neg
abdications,neg
aberrant,neg
aberration,neg
aberrational,neg
aberrations,neg
abetting,neg
able,pos
abnormal,neg
abnormalities,neg
abnormality,neg
abnormally,neg
abolish,neg
abolished,neg
abolishes,neg
abolishing,neg
abrogate,neg
abrogated,neg
abrogates,neg
abrogating,neg
abrogation,neg
abrogations,neg
abrupt,neg
abruptly,neg
abruptness,neg
absence,neg
absences,neg
absenteeism,neg
abundance,pos
abundant,pos
abuse,neg
abused,neg
abuses,neg
abusing,neg
abusive,neg
abusively,neg
abusiveness,neg
accident,neg
accidental,neg
accidentally,neg
accidents,neg
acclaimed,pos
accomplish,pos
accomplished,pos
accomplishes,pos
accomplishing,pos
accomplishment,pos
accomplishments,pos
accusation,neg
accusations,neg
accuse,neg
accused,neg
accuses,neg
accusing,neg
achieve,pos
achieved,pos
achievement,pos
achievements,pos
achieves,pos
achieving,pos
acquiesce,neg
acquiesced,neg
acquiesces,neg
acquiescing,neg
acquit,neg
acquits,neg
acquittal,neg
acquittals,neg
acquitted,neg
acquitting,neg
adequately,pos
adulterate,neg
adulterated,neg
adulterating,neg
adulteration,neg
adulterations,neg
advancement,pos
advancements,pos
advances,pos
advancing,pos
advantage,pos
advantaged,pos
advantageous,pos
advantageously,pos
advantages,pos
adversarial,neg
adversaries,neg
adversary,neg
adverse,neg
adversely,neg
adversities,neg
adversity,neg
aftermath,neg
aftermaths,neg
against,neg
aggravate,neg
aggravated,neg
aggravates,neg
aggravating,neg
aggravation,neg
aggravations,neg
alerted,neg
alerting,neg
alienate,neg
alienated,neg
alienates,neg
alienating,neg
alienation,neg
alienations,neg
allegation,neg
allegations,neg
allege,neg
alleged,neg
allegedly,neg
alleges,neg
alleging,neg
alliance,pos
alliances,pos
annoy,neg
annoyance,neg
annoyances,neg
annoyed,neg
annoying,neg
annoys,neg
annul,neg
annulled,neg
annulling,neg
annulment,neg
annulments,neg
annuls,neg
anomalies,neg
anomalous,neg
anomalously,neg
anomaly,neg
anticompetitive,neg
antitrust,neg
argue,neg
argued,neg
arguing,neg
argument,neg
argumentative,neg
arguments,neg
arrearage,neg
arrearages,neg
arrears,neg
arrest,neg
arrested,neg
arrests,neg
artificially,neg
assault,neg
assaulted,neg
assaulting,neg
assaults,neg
assertions,neg
assure,pos
assured,pos
assures,pos
assuring,pos
attain,pos
attained,pos
attaining,pos
attainment,pos
attainments,pos
attains,pos
attractive,pos
attractiveness,pos
attrition,neg
aversely,neg
backdating,neg
bad,neg
bail,neg
bailout,neg
balk,neg
balked,neg
bankrupt,neg
bankruptcies,neg
bankruptcy,neg
bankrupted,neg
bankrupting,neg
bankrupts,neg
bans,neg
barred,neg
barrier,neg
barriers,neg
beautiful,pos
beautifully,pos
beneficially,pos
benefited,pos
benefiting,pos
benefitted,pos
benefitting,pos
best,pos
better,pos
bolstered,pos
bolstering,pos
bolsters,pos
boom,pos
booming,pos
boost,pos
boosted,pos
bottleneck,neg
bottlenecks,neg
boycott,neg
boycotted,neg
boycotting,neg
boycotts,neg
breach,neg
breached,neg
breaches,neg
breaching,neg
break,neg
breakage,neg
breakages,neg
breakdown,neg
breakdowns,neg
breaks,neg
breakthrough,pos
breakthroughs,pos
bribe,neg
bribed,neg
briberies,neg
bribery,neg
bribes,neg
bribing,neg
brilliant,pos
burden,neg
burdened,neg
burdening,neg
burdens,neg
burdensome,neg
burned,neg
calamities,neg
calamitous,neg
calamity,neg
cancel,neg
canceled,neg
canceling,neg
cancellation,neg
cancellations,neg
cancelled,neg
cancelling,neg
cancels,neg
careless,neg
carelessly,neg
carelessness,neg
catastrophe,neg
catastrophes,neg
catastrophic,neg
catastrophically,neg
caution,neg
cautionary,neg
cautioned,neg
cautioning,neg
cautions,neg
cease,neg
ceased,neg
ceases,neg
ceasing,neg
censure,neg
censured,neg
censures,neg
censuring,neg
challenge,neg
challenged,neg
challenges,neg
challenging,neg
chargeoffs,neg
charitable,pos
circumvent,neg
circumvented,neg
circumventing,neg
circumvention,neg
circumventions,neg
circumvents,neg
claiming,neg
claims,neg
clawback,neg
closeout,neg
closeouts,neg
closings,neg
closure,neg
closures,neg
coerce,neg
coerced,neg
coerces,neg
coercing,neg
coercion,neg
coercive,neg
collaborate,pos
collaborated,pos
collaborates,pos
collaborating,pos
collaboration,pos
collaborations,pos
collaborative,pos
collaborator,pos
collaborators,pos
collapse,neg
collapsed,neg
collapses,neg
collapsing,neg
collision,neg
collisions,neg
collude,neg
colluded,neg
colludes,neg
colluding,neg
collusion,neg
collusions,neg
collusive,neg
complain,neg
complained,neg
complaining,neg
complains,neg
complaint,neg
complaints,neg
complicate,neg
complicated,neg
complicates,neg
complicating,neg
complication,neg
complications,neg
compliment,pos
complimentary,pos
complimented,pos
complimenting,pos
compliments,pos
compulsion,neg
concealed,neg
concealing,neg
concede,neg
conceded,neg
concedes,neg
conceding,neg
concern,neg
concerned,neg
concerns,neg
conciliating,neg
conciliation,neg
conciliations,neg
conclusive,pos
conclusively,pos
condemn,neg
condemnation,neg
condemnations,neg
condemned,neg
condemning,neg
condemns,neg
condone,neg
condoned,neg
conducive,pos
confess,neg
confessed,neg
confesses,neg
confessing,neg
confession,neg
confident,pos
confine,neg
confined,neg
confinement,neg
confinements,neg
confines,neg
confining,neg
confiscate,neg
confiscated,neg
confiscates,neg
confiscating,neg
confiscation,neg
confiscations,neg
conflict,neg
conflicted,neg
conflicting,neg
conflicts,neg
confront,neg
confrontation,neg
confrontational,neg
confrontations,neg
confronted,neg
confronting,neg
confronts,neg
confuse,neg
confused,neg
confuses,neg
confusing,neg
confusingly,neg
confusion,neg
conspiracies,neg
conspiracy,neg
conspirator,neg
conspiratorial,neg
conspirators,neg
conspire,neg
conspired,neg
conspires,neg
conspiring,neg
constructive,pos
constructively,pos
contempt,neg
contend,neg
contended,neg
contending,neg
contends,neg
contention,neg
contentions,neg
contentious,neg
contentiously,neg
contested,neg
contesting,neg
contraction,neg
contractions,neg
contradict,neg
contradicted,neg
contradicting,neg
contradiction,neg
contradictions,neg
contradictory,neg
contradicts,neg
contrary,neg
controversial,neg
controversies,neg
controversy,neg
convict,neg
convicted,neg
convicting,neg
conviction,neg
convictions,neg
corrected,neg
correcting,neg
correction,neg
corrections,neg
corrects,neg
corrupt,neg
corrupted,neg
corrupting,neg
corruption,neg
corruptions,neg
corruptly,neg
corruptness,neg
costly,neg
counterclaim,neg
counterclaimed,neg
counterclaiming,neg
counterclaims,neg
counterfeit,neg
counterfeited,neg
counterfeiter,neg
counterfeiters,neg
counterfeiting,neg
counterfeits,neg
countermeasure,neg
countermeasures,neg
courteous,pos
creative,pos
creatively,pos
creativeness,pos
creativity,pos
crime,neg
crimes,neg
criminal,neg
criminally,neg
criminals,neg
crises,neg
crisis,neg
critically,neg
criticism,neg
criticisms,neg
criticize,neg
criticized,neg
criticizes,neg
criticizing,neg
crucial,neg
crucially,neg
culpability,neg
culpable,neg
culpably,neg
cumbersome,neg
curtail,neg
curtailed,neg
curtailing,neg
curtailment,neg
curtailments,neg
curtails,neg
cut,neg
cutback,neg
cutbacks,neg
cyberattack,neg
cyberattacks,neg
cyberbullying,neg
cybercrime,neg
cybercrimes,neg
cybercriminal,neg
cybercriminals,neg
damage,neg
damaged,neg
damages,neg
damaging,neg
dampen,neg
dampened,neg
danger,neg
dangerous,neg
dangerously,neg
dangers,neg
deadlock,neg
deadlocked,neg
deadlocking,neg
deadlocks,neg
deadweight,neg
deadweights,neg
debarment,neg
debarments,neg
debarred,neg
deceased,neg
deceit,neg
deceitful,neg
deceitfulness,neg
deceive,neg
deceived,neg
deceives,neg
deceiving,neg
deception,neg
deceptions,neg
deceptive,neg
deceptively,neg
decline,neg
declined,neg
declines,neg
declining,neg
deface,neg
defaced,neg
defacement,neg
defamation,neg
defamations,neg
defamatory,neg
defame,neg
defamed,neg
defames,neg
defaming,neg
default,neg
defaulted,neg
defaulting,neg
defaults,neg
defeat,neg
defeated,neg
defeating,neg
defeats,neg
defect,neg
defective,neg
defects,neg
defend,neg
defendant,neg
defendants,neg
defended,neg
defending,neg
defends,neg
defensive,neg
defer,neg
deficiencies,neg
deficiency,neg
deficient,neg
deficit,neg
deficits,neg
defraud,neg
defrauded,neg
defrauding,neg
defrauds,neg
defunct,neg
degradation,neg
degradations,neg
degrade,neg
degraded,neg
degrades,neg
degrading,neg
delay,neg
delayed,neg
delaying,neg
delays,neg
deleterious,neg
deliberate,neg
deliberated,neg
deliberately,neg
delight,pos
delighted,pos
delightful,pos
delightfully,pos
delighting,pos
delights,pos
delinquencies,neg
delinquency,neg
delinquent,neg
delinquently,neg
delinquents,neg
delist,neg
delisted,neg
delisting,neg
delists,neg
demise,neg
demised,neg
demises,neg
demising,neg
demolish,neg
demolished,neg
demolishes,neg
demolishing,neg
demolition,neg
demolitions,neg
demote,neg
demoted,neg
demotes,neg
demoting,neg
demotion,neg
demotions,neg
denial,neg
denials,neg
denied,neg
denies,neg
denigrate,neg
denigrated,neg
denigrates,neg
denigrating,neg
denigration,neg
deny,neg
denying,neg
dependability,pos
dependable,pos
deplete,neg
depleted,neg
depletes,neg
depleting,neg
depletion,neg
depletions,neg
deprecation,neg
depress,neg
depressed,neg
depresses,neg
depressing,neg
deprivation,neg
deprive,neg
deprived,neg
deprives,neg
depriving,neg
derelict,neg
dereliction,neg
derogatory,neg
desirable,pos
desired,pos
despite,pos
destabilization,neg
destabilize,neg
destabilized,neg
destabilizing,neg
destined,pos
destroy,neg
destroyed,neg
destroying,neg
destroys,neg
destruction,neg
destructive,neg
detain,neg
detained,neg
detention,neg
detentions,neg
deter,neg
deteriorate,neg
deteriorates,neg
deteriorating,neg
deteriorations,neg
deterred,neg
deterrence,neg
deterrences,neg
deterrent,neg
deterrents,neg
deterring,neg
deters,neg
detract,neg
detracted,neg
detracting,neg
detriment,neg
detrimental,neg
detrimentally,neg
detriments,neg
devalue,neg
devalued,neg
devalues,neg
devaluing,neg
devastate,neg
devastated,neg
devastating,neg
devastation,neg
deviate,neg
deviated,neg
deviates,neg
deviating,neg
deviation,neg
deviations,neg
devolve,neg
devolved,neg
devolves,neg
devolving,neg
difficult,neg
difficulties,neg
difficultly,neg
difficulty,neg
diligent,pos
diligently,pos
diminish,neg
diminished,neg
diminishes,neg
diminishing,neg
diminution,neg
disadvantage,neg
disadvantaged,neg
disadvantageous,neg
disadvantages,neg
disaffiliation,neg
disagree,neg
disagreeable,neg
disagreed,neg
disagreeing,neg
disagreement,neg
disagreements,neg
disagrees,neg
disallow,neg
disallowance,neg
disallowances,neg
disallowed,neg
disallowing,neg
disallows,neg
disappear,neg
disappearance,neg
disappearances,neg
disappeared,neg
disappearing,neg
disappears,neg
disappoint,neg
disappointed,neg
disappointing,neg
disappointingly,neg
disappointment,neg
disappointments,neg
disappoints,neg
disapproval,neg
disapprovals,neg
disapprove,neg
disapproved,neg
disapproves,neg
disapproving,neg
disassociates,neg
disassociating,neg
disassociation,neg
disassociations,neg
disaster,neg
disasters,neg
disastrous,neg
disastrously,neg
disavow,neg
disavowal,neg
disavowed,neg
disavowing,neg
disavows,neg
disciplinary,neg
disclaim,neg
disclaimed,neg
disclaimer,neg
disclaimers,neg
disclaiming,neg
disclaims,neg
disclose,neg
disclosed,neg
discloses,neg
disclosing,neg
discontinuance,neg
discontinuances,neg
discontinuation,neg
discontinuations,neg
discontinue,neg
discontinued,neg
discontinues,neg
discontinuing,neg
discourage,neg
discouraged,neg
discourages,neg
discouraging,neg
discredit,neg
discredited,neg
discrediting,neg
discredits,neg
discrepancies,neg
discrepancy,neg
disfavor,neg
disfavored,neg
disfavoring,neg
disfavors,neg
disgorge,neg
disgorged,neg
disgorgement,neg
disgorgements,neg
disgorges,neg
disgorging,neg
disgrace,neg
disgraceful,neg
disgracefully,neg
dishonest,neg
dishonestly,neg
dishonesty,neg
dishonor,neg
dishonorable,neg
dishonorably,neg
dishonored,neg
dishonoring,neg
dishonors,neg
